Bezirk,Altersgruppe,Jahr_2010,Jahr_2022,Differenz
Affoltern,Erwachsene_65plus,73.6,74.82,1.22
Affoltern,Erwachsene_u65,42,42.81,0.81
Affoltern,Kinder,6.04,6.18,0.14
Affoltern,Minderjaehrige,15.02,14.99,-0.03
Andelfingen,Erwachsene_65plus,74.44,75.04,0.6
Andelfingen,Erwachsene_u65,42.06,43.56,1.5
Andelfingen,Kinder,6.23,6.23,0
Andelfingen,Minderjaehrige,15.03,14.97,-0.06
Bülach,Erwachsene_65plus,74.14,75.25,1.11
Bülach,Erwachsene_u65,40.74,41.29,0.55
Bülach,Kinder,5.94,6,0.06
Bülach,Minderjaehrige,15.02,14.95,-0.07
Dielsdorf,Erwachsene_65plus,73.72,74.8,1.07
Dielsdorf,Erwachsene_u65,41.02,41.92,0.89
Dielsdorf,Kinder,6.06,6,-0.05
Dielsdorf,Minderjaehrige,14.98,15,0.02
Dietikon,Erwachsene_65plus,74.55,75.93,1.38
Dietikon,Erwachsene_u65,40.74,40.93,0.19
Dietikon,Kinder,5.84,5.83,-0.01
Dietikon,Minderjaehrige,15.07,14.97,-0.1
Hinwil,Erwachsene_65plus,74.53,75.14,0.62
Hinwil,Erwachsene_u65,41.2,42.22,1.02
Hinwil,Kinder,6.1,6.03,-0.08
Hinwil,Minderjaehrige,15.02,14.99,-0.03
Horgen,Erwachsene_65plus,74.72,75.99,1.28
Horgen,Erwachsene_u65,41.76,42.46,0.7
Horgen,Kinder,5.91,6.08,0.17
Horgen,Minderjaehrige,14.97,14.94,-0.03
Meilen,Erwachsene_65plus,75.08,76.37,1.29
Meilen,Erwachsene_u65,42.81,43.57,0.76
Meilen,Kinder,6.01,6.23,0.22
Meilen,Minderjaehrige,14.97,15,0.02
Pfäffikon,Erwachsene_65plus,73.94,75.05,1.11
Pfäffikon,Erwachsene_u65,41.68,42.57,0.9
Pfäffikon,Kinder,6.01,6.17,0.16
Pfäffikon,Minderjaehrige,15.01,14.96,-0.05
Uster,Erwachsene_65plus,73.77,75.6,1.83
Uster,Erwachsene_u65,41.18,41.92,0.74
Uster,Kinder,5.93,6.11,0.18
Uster,Minderjaehrige,14.99,14.94,-0.05
Winterthur,Erwachsene_65plus,74.95,75.6,0.65
Winterthur,Erwachsene_u65,40.35,41.28,0.93
Winterthur,Kinder,5.85,6.04,0.19
Winterthur,Minderjaehrige,15.03,14.98,-0.05
Zürich,Erwachsene_65plus,76.43,76.21,-0.22
Zürich,Erwachsene_u65,39.57,39.81,0.25
Zürich,Kinder,5.37,5.74,0.37
Zürich,Minderjaehrige,14.99,14.93,-0.06
NA,Erwachsene_65plus,74.99,75.68,0.69
NA,Erwachsene_u65,40.78,41.36,0.59
NA,Kinder,5.82,5.98,0.16
NA,Minderjaehrige,15,14.96,-0.04
